Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,EAST CENTRAL,60,SHEBOYGAN,117,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"55,500",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,EAST CENTRAL,60,WINNEBAGO,139,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"50,800",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,CLARK,19,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"83,500",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,LINCOLN,69,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"8,300",0.3
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,MARATHON,73,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"110,500",0.4
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,PRICE,99,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"4,500",0.7
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,TAYLOR,119,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"38,800",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHEAST,30,LANGLADE,67,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"14,500",0.3
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHEAST,30,MARINETTE,75,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"38,600",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHEAST,30,OCONTO,83,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"64,400",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHEAST,30,SHAWANO,115,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"84,300",0.4
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHWEST,10,BARRON,5,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"86,400",0.3
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHWEST,10,BAYFIELD,7,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"2,100",2.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHWEST,10,BURNETT,13,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"13,700",0.3
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHWEST,10,CHIPPEWA,17,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"93,200",0.3
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHWEST,10,POLK,95,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"65,900",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHWEST,10,RUSK,107,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"22,700",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHWEST,10,SAWYER,113,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"7,200",0.5
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,NORTHWEST,10,WASHBURN,129,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"10,300",0.5
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTH CENTRAL,80,COLUMBIA,21,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"130,500",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTH CENTRAL,80,DANE,25,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"187,500",0.7
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTH CENTRAL,80,DODGE,27,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"156,500",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTH CENTRAL,80,GREEN,45,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"114,500",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTH CENTRAL,80,JEFFERSON,55,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"90,400",0.6
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTH CENTRAL,80,ROCK,105,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"152,000",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHEAST,90,KENOSHA,59,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"28,300",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHEAST,90,MILWAUKEE,79,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,100",2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHEAST,90,OZAUKEE,89,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"16,700",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHEAST,90,RACINE,101,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"33,100",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHEAST,90,WALWORTH,127,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"104,500",1.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHEAST,90,WASHINGTON,131,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"32,100",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHEAST,90,WAUKESHA,133,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"20,500",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHWEST,70,CRAWFORD,23,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"37,600",0.6
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHWEST,70,GRANT,43,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"156,500",0.4
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHWEST,70,IOWA,49,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"79,000",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHWEST,70,LAFAYETTE,65,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"141,000",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHWEST,70,RICHLAND,103,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"46,800",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHWEST,70,SAUK,111,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"85,600",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,SOUTHWEST,70,VERNON,123,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"61,700",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,WEST CENTRAL,40,BUFFALO,11,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"67,200",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,WEST CENTRAL,40,DUNN,33,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"104,000",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,WEST CENTRAL,40,EAU CLAIRE,35,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"40,100",0.3
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,WEST CENTRAL,40,JACKSON,53,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"46,800",0.3
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,WEST CENTRAL,40,LA CROSSE,63,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"31,900",1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,WEST CENTRAL,40,MONROE,81,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"61,200",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,WEST CENTRAL,40,PEPIN,91,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"29,300",1.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,WEST CENTRAL,40,PIERCE,93,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"82,400",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,WEST CENTRAL,40,ST CROIX,109,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"98,400",0.2
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,WEST CENTRAL,40,TREMPEALEAU,121,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"87,400",0.1
SURVEY,2020,YEAR,,COUNTY,WISCONSIN,55,,99,OTHER COUNTIES,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"5,600",2.4
